class,path,distance,scip_nodes,ml_nodes,degradation,scip_lps,ml_lps,scip_time,ml_time,scip_walltime,ml_walltime,scip_status,ml_status,scip_gap,ml_gap
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_054.lp,0.00251,167,279,1.6706586826347305,414,512,3.62,5.35,3.828343458008021,5.350458624976454,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_055.lp,0.00521,281,411,1.4626334519572954,590,769,11.42,15.48,12.810642541997368,13.476817374990787,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_056.lp,0.0023699999999999997,15,57,3.8,139,222,4.72,3.46,5.31267937499797,3.5952237920137122,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_057.lp,0.00433,179,148,0.8268156424581006,390,396,7.41,6.26,8.337292665994028,6.0059613329940476,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_058.lp,0.00505,226,132,0.584070796460177,440,341,7.28,5.61,7.69408275000751,5.306256208015839,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_059.lp,0.0023699999999999997,779,409,0.5250320924261874,1073,703,9.02,10.84,9.551609375019325,9.603983292006887,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_060.lp,0.00521,225,323,1.4355555555555555,486,539,7.42,9.64,7.808744292007759,9.387876708991826,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_061.lp,0.00423,11,53,4.818181818181818,88,165,3.4,2.55,3.593131708999863,2.386947249993682,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_062.lp,0.007150000000000001,95,225,2.3684210526315788,284,444,8.2,8.02,8.605394583020825,7.581680375005817,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_063.lp,0.00251,117,227,1.9401709401709402,282,434,5.61,6.87,5.952530625014333,6.900198540999554,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_064.lp,0.00423,223,230,1.031390134529148,462,443,6.97,7.54,7.345430791989202,7.121810999989975,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_065.lp,0.0034899999999999996,38,95,2.5,162,228,3.95,3.65,4.254867832991295,3.5833136250148527,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_066.lp,0.0023699999999999997,254,348,1.3700787401574803,501,642,7.04,11.45,7.509746750001796,9.522442541987402,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_067.lp,0.0029100000000000003,119,265,2.226890756302521,307,479,6.87,7.61,7.250789292011177,7.0568075829942245,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_068.lp,0.0023699999999999997,25,129,5.16,125,263,3.63,5.0,3.9211181249993388,4.94670841700281,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_069.lp,0.00251,260,358,1.376923076923077,542,698,10.89,12.24,11.751073624996934,10.636000833997969,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_070.lp,0.00423,17,50,2.9411764705882355,124,191,3.54,2.67,3.7677695420279633,2.637870083010057,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_071.lp,0.0029100000000000003,77,187,2.4285714285714284,243,449,5.42,6.54,5.744171667000046,5.729365584003972,optimal,optimal,0.0,0.0
setcover_valid,/Users/skandavyassrinivasan/Documents/Integral-Optimization-Branch-Learning-Research/data/instances/eval_setcover/setcover_072.lp,0.00251,457,334,0.7308533916849015,727,609,10.26,12.1,11.002773915999569,11.673228833009489,optimal,optimal,0.0,0.0
